SURVEY_INFO,esdate,towncode,ward,respid,BACKGROUND,gender,age,hhsize,educ,religion,leavemonr2w,leavemonr2wwhere,returnmonr2w,returnmonr2wwhere,EBOLA_AWARENESS,ehowget,esignsymptom,eincubation,ehotline,spreadair,spreadfluids,spreadearly,saltcure,HEALTH,notreatmentj26,under5,childsick,childsickcare,childsicknocareebola,childsickcarewhereelse,hhmemsick,hhmemsickcare,hhmemsicknocareebola,hhmemsickcarewhere,EBOLA_VIGILANCE,egroupa,egroupct,emtgs,emtgswho,corganizedae,csafeburial,bucket,handsanitizer,shakehands,secretburials,hidecases,breakcurfew,havefun,ECONOMIC_FOOD_IMPACTS,nocashjuly,income7d,income7dunit,income7dnormal,income7dnormalunit,occupation,losejob,workless,famlosejob,famworkless,nofoodjuly,nofoodworry7d,skipmeals,limitmealsize,borrowfood,badfood,childmeals,childmealsnormal,bedhungry2w,CONCLUSION,willshare,angry,distractions
,"12/11/2014 16:46:16",2046,"Z1600-Caldwell",2046131,,"2-Female",56,9,"0-None","1-Christian","","","","",,"97-Dont know","97-Does not know",2,"0-No","Y","Y","N","Y",,"2-Several times",3,"Y","N","Y","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","0-No","0-No","0-No","0-No","0-No",0,0,,"3-Many times",0,"88-N/A",500,"1-LD","88-Other","N","Y","N","Y","2-Several times","Y",3,2,2,3,1,2,2,,"Y","N","0-None"
,"1/8/2015 10:50:13",2046,"Z1600-Caldwell",2046111,,"2-Female",33,6,"7-Some university","1-Christian","1-Yes","5-Grand Cape Mount","0-No","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;7-Weakness;8-Stomach pain;10-Red eyes;12-Bleeding;18-Cough",21,"1-Yes","N","Y","Y","N",,"3-Many times",3,"Y","N","Y","","Y","N","Y","",,"1-Yes","0-No",0,"","97-Do not know","97-Do not know","1-Yes","0-No","0-No","97-Do not know","97-Do not know",0,8,,"0-Never",400,"1-LD",10,"2-USD","1-Professional","N","N","Y","Y","3-Many times","Y",4,4,3,1,99,99,2,,"Y","N","0-None"
,"12/11/2014 13:45:08",2046,"Z1600-Caldwell",2046213,,"2-Female",40,18,"3-Some junior high","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies","1-Vomiting;2-Fever;3-Diarrhea;6-Sore throat;9-Rash;10-Red eyes;12-Bleeding",21,"0-No","N","Y","Y","N",,"0-Never",6,"N","","","","N","","","",,"1-Yes","1-Yes",3,"5-Government agency","1-Agree","1-Agree","1-Yes","1-Yes","1-Yes","0-No","0-No",0,0,,"2-Several times",1000,"1-LD",5000,"1-LD","0-None","Y","Y","Y","Y","2-Several times","Y",3,3,4,4,1,3,2,,"Y","N","2-Child present;88-Other"
,"12/11/2014 10:13:10",2046,"Z1600-Caldwell",2046161,,"1-Male",42,2,"2-Completed ABC","2-Muslim","","","","",,"5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;7-Weakness;10-Red eyes",3,"0-No","Y","Y","N","N",,"0-Never",0,"","","","","N","","","",,"0-No","0-No",0,"88-Other","1-Agree","97-Do not know","1-Yes","0-No","1-Yes","0-No","0-No",0,0,,"3-Many times",300,"1-LD",1100,"1-LD","4-Skilled manual","N","N","N","N","3-Many times","Y",2,2,1,2,99,99,99,,"Y","Y","0-None"
,"12/11/2014 13:07:48",2046,"Z1600-Caldwell",2046152,,"2-Female",54,15,"6-Completed high school","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;88-Other","1-Vomiting;2-Fever;3-Diarrhea;7-Weakness;9-Rash",21,"0-No","N","Y","Y","N",,"0-Never",4,"Y","Y","","","N","","","",,"1-Yes","1-Yes",2,"1-Community leaders","1-Agree","1-Agree","1-Yes","0-No","0-No","1-Yes","0-No",0,0,,"2-Several times",500,"1-LD",4000,"1-LD","3-Sales and services","Y","Y","Y","Y","4-Always","Y",2,1,0,1,1,2,0,,"Y","N","0-None"
,"12/11/2014 10:42:55",2046,"Z1600-Caldwell",2046211,,"1-Male",32,5,"6-Completed high school","1-Christian","","","","",,"1-Preparing or eating bush mea;5-Touching dead bodies","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;10-Red eyes",21,"0-No","N","Y","Y","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","0-No",0,"4-NGOs","1-Agree","1-Agree","0-No","0-No","0-No","0-No","0-No",0,0,,"1-Just once or twice",1000,"1-LD",1500,"1-LD","6-Domestic services","N","Y","N","N","2-Several times","Y",1,3,0,0,2,3,0,,"Y","Y","2-Child present;88-Other"
,"12/11/2014 13:25:24",2046,"Z1600-Caldwell",2046194,,"2-Female",52,13,"7-Some university","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac;7-Mother breastfeeding her chi","3-Diarrhea;4-Headache;5-Joint and muscle pain;8-Stomach pain;10-Red eyes;11-Hiccups",21,"1-Yes","N","Y","Y","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","1-Yes",2,"1-Community leaders","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"4-Always",0,"88-N/A",800,"1-LD","1-Professional","Y","Y","Y","Y","3-Many times","Y",0,7,0,7,2,3,0,,"Y","N","2-Child present"
,"1/8/2015 11:48:08",2046,"Z1600-Caldwell",2046133,,"1-Male",43,6,"6-Completed high school","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;4-Headache;6-Sore throat;10-Red eyes",21,"1-Yes","N","Y","N","N",,"0-Never",1,"N","","","","N","","","",,"0-No","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"2-Several times",400,"1-LD",1000,"1-LD","88-Other","N","N","N","N","0-Never","N",0,0,0,2,1,2,0,,"Y","N","0-None"
,"12/11/2014 15:17:39",2046,"Z1600-Caldwell",2046164,,"1-Male",47,5,"6-Completed high school","2-Muslim","","","","",,"4-Man woman business;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;9-Rash;10-Red eyes;12-Bleeding",21,"1-Yes","N","Y","Y","N",,"1-Just once or twice",0,"","","","","N","","","",,"1-Yes","1-Yes",2,"1-Community leaders","1-Agree","1-Agree","1-Yes","1-Yes","0-No","1-Yes","0-No",0,0,,"3-Many times",10,"2-USD",25,"2-USD","1-Professional","N","N","N","N","2-Several times","N",0,0,0,4,99,99,99,,"Y","N","0-None"
,"12/11/2014 12:34:06",2046,"Z1600-Caldwell",2046212,,"1-Male",32,10,"7-Some university","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;10-Red eyes",21,"1-Yes","N","Y","N","N",,"1-Just once or twice",2,"N","","","","N","","","",,"1-Yes","1-Yes",0,"4-NGOs;5-Government agency","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,4,,"2-Several times",1000,"1-LD",3000,"1-LD","0-None","Y","Y","N","Y","2-Several times","Y",0,4,0,2,3,3,0,,"Y","N","2-Child present;88-Other"
,"12/11/2014 10:15:22",2046,"Z1600-Caldwell",2046191,,"1-Male",47,22,"4-Completed junior high","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;6-Contact with infected surfac","1-Vomiting;3-Diarrhea;6-Sore throat;10-Red eyes;11-Hiccups",21,"1-Yes","N","Y","Y","N",,"",,"","","","","","","","",,"1-Yes","1-Yes",0,"","0-Disagree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"2-Several times",0,"88-N/A",300,"1-LD","4-Skilled manual","Y","Y","Y","Y","2-Several times","Y",8,8,7,7,1,2,7,,"Y","N","0-None"
,"12/11/2014 13:47:16",2046,"Z1600-Caldwell",2046163,,"1-Male",56,8,"5-Some high school","1-Christian","","","","",,"2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;88-Other","1-Vomiting;3-Diarrhea;9-Rash;12-Bleeding;18-Cough",2,"0-No","Y","Y","N","N",,"0-Never",1,"N","","","","N","","","",,"1-Yes","1-Yes",1,"1-Community leaders","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"2-Several times",750,"1-LD",100,"2-USD","1-Professional","N","N","N","N","0-Never","Y",0,2,0,1,2,2,0,,"Y","N","0-None"
,"12/11/2014 11:42:25",2046,"Z1600-Caldwell",2046192,,"1-Male",52,8,"7-Some university","1-Christian","0-No","","0-No","",,"1-Preparing or eating bush mea;3-Bodily fluids of infected pe;5-Touching dead bodies","1-Vomiting;2-Fever;3-Diarrhea;6-Sore throat;10-Red eyes",21,"1-Yes","N","Y","N","N",,"0-Never",0,"","","","","N","","","",,"1-Yes","1-Yes",3,"1-Community leaders","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"3-Many times",400,"1-LD",400,"1-LD","1-Professional","Y","Y","N","N","0-Never","Y",3,4,0,3,1,2,0,,"Y","N","0-None"
,"12/11/2014 12:24:33",2046,"Z1600-Caldwell",2046162,,"2-Female",40,3,"4-Completed junior high","1-Christian","","","","",,"5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;3-Diarrhea;4-Headache;11-Hiccups",0,"0-No","N","Y","Y","N",,"0-Never",0,"","","","","Y","Y","","4-At home doctor or nurse",,"1-Yes","0-No",0,"88-Other","1-Agree","97-Do not know","1-Yes","0-No","0-No","0-No","0-No",0,0,,"2-Several times",0,"1-LD",800,"1-LD","4-Skilled manual","N","Y","Y","N","1-Just once or twice","Y",0,4,0,4,99,99,99,,"Y","Y","0-None"
,"12/11/2014 15:07:27",2046,"Z1600-Caldwell",2046214,,"2-Female",42,15,"6-Completed high school","1-Christian","","","","",,"2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;88-Other","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;6-Sore throat;9-Rash;10-Red eyes",2,"0-No","N","Y","Y","N",,"0-Never",3,"Y","Y","","","N","","","",,"1-Yes","0-No",2,"1-Community leaders;5-Government agency","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"3-Many times",2000,"1-LD",20000,"1-LD","3-Sales and services","Y","Y","Y","","2-Several times","Y",0,3,0,3,1,3,0,,"Y","N","2-Child present;88-Other"
,"12/11/2014 16:25:48",2046,"Z1600-Caldwell",2046154,,"1-Male",56,16,"6-Completed high school","1-Christian","","","","",,"1-Preparing or eating bush mea;4-Man woman business;6-Contact with infected surfac","1-Vomiting;3-Diarrhea;8-Stomach pain;9-Rash",2,"0-No","N","Y","Y","Y",,"0-Never",2,"N","","","","N","","","",,"1-Yes","1-Yes",1,"1-Community leaders","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"2-Several times",1000,"1-LD",5000,"1-LD","4-Skilled manual","N","Y","N","Y","3-Many times","N",7,3,0,2,2,3,0,,"Y","N","0-None"
,"12/10/2014 15:57:38",2047,"Z1600-Caldwell",2047112,,"2-Female",44,11,"5-Some high school","1-Christian","","","","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies","1-Vomiting;3-Diarrhea;4-Headache;7-Weakness;10-Red eyes;12-Bleeding",3,"0-No","N","Y","Y","N",,"0-Never",3,"Y","N","","6-Family or self","Y","N","","",,"1-Yes","0-No",3,"1-Community leaders;4-NGOs","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"3-Many times",700,"1-LD",4000,"1-LD","88-Other","Y","Y","Y","Y","4-Always","Y",0,7,0,7,1,2,3,,"Y","N","1-Rain;2-Child present;3-Spouse present;4-Friend present;88-Other"
,"12/11/2014 13:41:13",2047,"Z1600-Caldwell",2047116,,"2-Female",42,11,"0-None","1-Christian","","","","",,"97-Dont know","1-Vomiting;2-Fever;3-Diarrhea;4-Headache",2,"0-No","N","Y","N","N",,"3-Many times",1,"Y","N","Y","","Y","N","Y","",,"1-Yes","0-No",2,"1-Community leaders;4-NGOs","97-Do not know","97-Do not know","0-No","0-No","0-No","97-Do not know","97-Do not know",0,6,,"3-Many times",500,"1-LD",10500,"1-LD","88-Other","Y","Y","Y","Y","0-Never","Y",0,0,0,3,1,2,0,,"N","Y","2-Child present;3-Spouse present;4-Friend present;88-Other"
,"12/11/2014 10:25:20",2047,"Z1600-Caldwell",2047134,,"2-Female",25,7,"2-Completed ABC","1-Christian","1-Yes","9-Margibi","0-No","",,"97-Dont know","1-Vomiting;2-Fever;8-Stomach pain;10-Red eyes",90,"1-Yes","Y","Y","Y","N",,"0-Never",1,"Y","Y","","","N","","","",,"1-Yes","0-No",0,"88-Other","1-Agree","0-Disagree","0-No","0-No","1-Yes","0-No","0-No",0,0,,"2-Several times",2500,"1-LD",8000,"1-LD","88-Other","N","Y","Y","Y","0-Never","Y",3,3,0,3,1,2,0,,"Y","N","0-None"
,"12/11/2014 13:04:53",2047,"Z1600-Caldwell",2047135,,"2-Female",43,7,"2-Completed ABC","2-Muslim","","","","",,"3-Bodily fluids of infected pe;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;12-Bleeding",3,"0-No","N","Y","N","Y",,"0-Never",3,"N","","","","N","","","",,"1-Yes","1-Yes",1,"3-Community members","1-Agree","1-Agree","1-Yes","1-Yes","0-No","1-Yes","0-No",0,0,,"3-Many times",300,"1-LD",600,"1-LD","88-Other","N","Y","Y","Y","0-Never","Y",3,2,0,0,1,3,0,,"Y","N","88-Other"
,"1/8/2015 11:34:49",2047,"Z1600-Caldwell",2047118,,"2-Female",54,9,"2-Completed ABC","1-Christian","","","","",,"97-Dont know","97-Does not know",3,"0-No","Y","Y","Y","N",,"3-Many times",4,"Y","Y","","","N","","","",,"1-Yes","0-No",2,"1-Community leaders;3-Community members","1-Agree","97-Do not know","0-No","1-Yes","1-Yes","97-Do not know","97-Do not know",0,4,,"3-Many times",200,"1-LD",500,"1-LD","5-Unskilled manual","Y","Y","Y","Y","3-Many times","Y",4,3,7,3,1,1,4,,"Y","N","2-Child present;4-Friend present"
,"12/10/2014 14:38:19",2047,"Z1600-Caldwell",2047161,,"2-Female",31,8,"0-None","2-Muslim","","","","",,"3-Bodily fluids of infected pe;6-Contact with infected surfac;7-Mother breastfeeding her chi","1-Vomiting;3-Diarrhea;4-Headache;6-Sore throat;9-Rash;10-Red eyes;16-Weight loss",21,"0-No","N","Y","Y","N",,"0-Never",3,"N","","","","N","","","",,"0-No","0-No",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"2-Several times",2000,"1-LD",4500,"1-LD","3-Sales and services","N","N","N","Y","2-Several times","Y",0,2,0,2,2,2,0,,"Y","N","0-None"
,"12/10/2014 16:09:44",2047,"Z1600-Caldwell",2047152,,"1-Male",41,8,"6-Completed high school","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes",21,"1-Yes","N","Y","Y","N",,"2-Several times",2,"Y","Y","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","0-Disagree","1-Agree","0-No","0-No","0-No","0-No","0-No",0,0,,"4-Always",200,"1-LD",2000,"1-LD","3-Sales and services","Y","Y","Y","Y","2-Several times","Y",3,3,2,7,2,3,0,,"Y","N","0-None"
,"12/10/2014 15:45:31",2047,"Z1600-Caldwell",2047132,,"2-Female",24,11,"6-Completed high school","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;4-Headache;7-Weakness;10-Red eyes",21,"1-Yes","N","Y","N","N",,"0-Never",2,"N","","","","N","","","",,"0-No","0-No",0,"88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"0-Never",0,"1-LD",500,"1-LD","88-Other","N","Y","Y","Y","0-Never","Y",0,0,0,0,2,2,0,,"Y","N","0-None"
,"12/11/2014 14:41:46",2047,"Z1600-Caldwell",2047117,,"2-Female",23,11,"6-Completed high school","1-Christian","0-No","","0-No","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;7-Weakness;10-Red eyes;12-Bleeding",2,"1-Yes","N","Y","N","N",,"2-Several times",2,"Y","N","Y","","Y","N","Y","",,"1-Yes","1-Yes",0,"","97-Do not know","97-Do not know","1-Yes","0-No","0-No","97-Do not know","97-Do not know",0,4,,"2-Several times",30,"2-USD",100,"2-USD","2-Clerical","Y","Y","N","N","2-Several times","Y",2,4,2,5,1,3,2,,"Y","Y","2-Child present;88-Other"
,"12/11/2014 8:44:26",2047,"Z1600-Caldwell",2047133,,"1-Male",45,7,"7-Some university","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;10-Red eyes",21,"1-Yes","N","Y","N","N",,"",,"","","","","","","","",,"0-No","0-No",0,"88-Other","0-Disagree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"",,"",,"","","","","","","","",,,,,,,,,"Y","N","88-Other"
,"12/10/2014 14:37:37",2047,"Z1600-Caldwell",2047151,,"2-Female",23,8,"5-Some high school","1-Christian","","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups",5,"0-No","N","Y","Y","N",,"2-Several times",2,"Y","Y","","","Y","Y","","1-Clinic",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","97-Do not know","0-No",0,2,,"2-Several times",800,"1-LD",2500,"1-LD","3-Sales and services","Y","Y","Y","Y","2-Several times","Y",7,7,2,0,1,3,1,,"Y","N","0-None"
,"12/11/2014 10:35:39",2047,"Z1600-Caldwell",2047114,,"2-Female",44,8,"3-Some junior high","1-Christian","","","","",,"97-Dont know","1-Vomiting;2-Fever;3-Diarrhea;4-Headache",2,"1-Yes","Y","Y","Y","N",,"2-Several times",0,"","","","","Y","N","Y","",,"0-No","0-No",0,"","97-Do not know","97-Do not know","0-No","0-No","0-No","97-Do not know","0-No",0,4,,"3-Many times",700,"1-LD",4000,"1-LD","88-Other","Y","Y","N","Y","0-Never","N",0,0,0,2,2,3,0,,"N","Y","1-Rain;2-Child present;3-Spouse present;4-Friend present;88-Other"
,"12/10/2014 16:05:20",2047,"Z1600-Caldwell",2047192,,"2-Female",41,6,"5-Some high school","1-Christian","","","","",,"1-Preparing or eating bush mea;4-Man woman business;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;9-Rash;10-Red eyes",3,"0-No","N","Y","Y","N",,"0-Never",10,"N","","","","N","","","",,"1-Yes","1-Yes",7,"1-Community leaders;6-Community group","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",7,7,,"1-Just once or twice",200,"1-LD",500,"1-LD","3-Sales and services","Y","Y","Y","Y","4-Always","Y",7,7,8,7,1,2,7,,"Y","N","4-Friend present"
,"12/10/2014 16:00:32",2047,"Z1600-Caldwell",2047162,,"1-Male",30,5,"3-Some junior high","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;9-Rash;12-Bleeding",21,"0-No","Y","Y","N","N",,"0-Never",2,"Y","Y","","","N","","","",,"1-Yes","0-No",0,"88-Other","1-Agree","1-Agree","1-Yes","0-No","0-No","0-No","0-No",0,0,,"0-Never",10,"2-USD",30,"2-USD","4-Skilled manual","N","Y","N","N","1-Just once or twice","Y",1,2,0,2,2,2,0,,"Y","N","0-None"
,"12/10/2014 14:32:40",2047,"Z1600-Caldwell",2047191,,"1-Male",61,20,"0-None","2-Muslim","0-No","","0-No","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac;88-Other","1-Vomiting;3-Diarrhea;6-Sore throat;9-Rash;10-Red eyes",21,"1-Yes","N","Y","Y","N",,"0-Never",8,"N","","","","N","","","",,"1-Yes","1-Yes",1,"4-NGOs","1-Agree","1-Agree","0-No","1-Yes","0-No","0-No","0-No",0,0,,"4-Always",0,"1-LD",100,"2-USD","1-Professional","Y","Y","Y","Y","2-Several times","Y",7,7,0,7,1,3,7,,"Y","N","2-Child present"
,"12/10/2014 14:32:34",2047,"Z1600-Caldwell",2047111,,"2-Female",20,3,"3-Some junior high","1-Christian","0-No","","0-No","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;10-Red eyes",3,"1-Yes","N","Y","Y","N",,"3-Many times",1,"Y","N","","6-Family or self","Y","N","","",,"1-Yes","0-No",2,"1-Community leaders","1-Agree","1-Agree","0-No","0-No","1-Yes","97-Do not know","97-Do not know",0,6,,"3-Many times",500,"1-LD",3000,"1-LD","88-Other","Y","Y","Y","Y","3-Many times","Y",3,5,3,4,1,3,3,,"Y","Y","2-Child present;3-Spouse present;4-Friend present;88-Other"
,"12/10/2014 14:36:53",2047,"Z1600-Caldwell",2047131,,"1-Male",37,2,"6-Completed high school","1-Christian","0-No","","0-No","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;4-Headache;9-Rash;10-Red eyes",21,"1-Yes","N","Y","Y","N",,"0-Never",0,"","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"1-Just once or twice",1500,"1-LD",2400,"1-LD","4-Skilled manual","N","Y","N","Y","0-Never","N",0,0,0,0,2,2,0,,"Y","N","0-None"
,"12/11/2014 15:29:17",2047,"Z1600-Caldwell",2047137,,"1-Male",63,9,"5-Some high school","1-Christian","","","","",,"97-Dont know","97-Does not know",21,"0-No","Y","Y","N","Y",,"1-Just once or twice",2,"N","","","","N","","","",,"1-Yes","0-No",0,"88-Other","0-Disagree","0-Disagree","0-No","0-No","1-Yes","0-No","0-No",0,0,,"0-Never",0,"88-N/A",0,"88-N/A","88-Other","N","Y","N","Y","0-Never","N",0,0,0,0,1,2,0,,"Y","N","0-None"
,"12/11/2014 14:42:39",2047,"Z1600-Caldwell",2047136,,"1-Male",34,3,"7-Some university","1-Christian","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;10-Red eyes",10,"1-Yes","N","Y","N","N",,"2-Several times",1,"Y","N","Y","","N","","","",,"0-No","0-No",0,"88-Other","0-Disagree","1-Agree","0-No","0-No","1-Yes","0-No","0-No",0,0,,"3-Many times",0,"88-N/A",0,"88-N/A","4-Skilled manual","Y","Y","N","Y","2-Several times","Y",2,2,0,4,1,2,0,,"Y","N","0-None"
,"12/11/2014 9:33:58",2047,"Z1600-Caldwell",2047113,,"1-Male",65,4,"0-None","2-Muslim","","","","",,"3-Bodily fluids of infected pe;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;3-Diarrhea;10-Red eyes",3,"0-No","N","N","N","N",,"3-Many times",0,"","","","","Y","N","Y","",,"1-Yes","1-Yes",0,"","1-Agree","1-Agree","0-No","0-No","1-Yes","0-No","1-Yes",0,10,,"3-Many times",500,"1-LD",4500,"1-LD","4-Skilled manual","Y","Y","N","N","2-Several times","Y",0,7,0,5,1,3,0,,"Y","Y","1-Rain;2-Child present;3-Spouse present;88-Other"
,"12/10/2014 11:21:28",2048,"Z1600-Caldwell",2048163,,"1-Male",52,6,"5-Some high school","1-Christian","0-No","","0-No","",,"3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;4-Headache",7,"1-Yes","N","Y","Y","N",,"0-Never",2,"N","","","","N","","","",,"0-No","0-No",0,"88-Other","1-Agree","97-Do not know","1-Yes","0-No","0-No","0-No","0-No",0,0,,"0-Never",1500,"1-LD",2800,"1-LD","5-Unskilled manual","N","N","N","N","1-Just once or twice","Y",0,3,0,2,2,2,0,,"Y","N","0-None"
,"12/9/2014 15:54:57",2048,"Z1600-Caldwell",2048151,,"2-Female",29,3,"6-Completed high school","2-Muslim","","","","",,"","",,"","","","","",,"1-Just once or twice",1,"Y","N","","6-Family or self","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","0-No","0-No","0-No","0-No","0-No",0,0,,"2-Several times",50,"1-LD",1500,"1-LD","3-Sales and services","Y","Y","Y","Y","2-Several times","Y",7,7,1,3,1,2,0,,"Y","N","0-None"
,"12/10/2014 11:25:42",2048,"Z1600-Caldwell",2048193,,"2-Female",35,6,"5-Some high school","1-Christian","","","","",,"2-Eating fruit bitten by bats;5-Touching dead bodies;6-Contact with infected surfac","1-Vomiting;2-Fever;3-Diarrhea;8-Stomach pain;10-Red eyes",21,"1-Yes","Y","Y","","",,"2-Several times",3,"N","","","","N","","","",,"1-Yes","0-No",5,"1-Community leaders","1-Agree","1-Agree","1-Yes","1-Yes","0-No","0-No","0-No",0,0,,"2-Several times",300,"1-LD",1500,"1-LD","3-Sales and services","Y","Y","N","Y","3-Many times","Y",7,7,2,7,3,4,3,,"Y","Y","2-Child present;4-Friend present"
,"12/9/2014 15:49:14",2048,"Z1600-Caldwell",2048111,,"2-Female",36,7,"2-Completed ABC","1-Christian","0-No","","0-No","",,"3-Bodily fluids of infected pe;5-Touching dead bodies","1-Vomiting;2-Fever;3-Diarrhea",1,"0-No","Y","Y","Y","N",,"2-Several times",2,"Y","N","","3-Traditional healer","Y","N","","",,"1-Yes","1-Yes",0,"","1-Agree","97-Do not know","0-No","0-No","0-No","0-No","0-No",0,5,,"2-Several times",1500,"1-LD",3000,"1-LD","88-Other","Y","Y","Y","Y","2-Several times","Y",0,3,2,5,1,2,4,,"Y","Y","1-Rain;4-Friend present"
,"12/10/2014 11:26:40",2048,"Z1600-Caldwell",2048153,,"1-Male",25,3,"6-Completed high school","1-Christian","0-No","","","",,"1-Preparing or eating bush mea;2-Eating fruit bitten by bats;3-Bodily fluids of infected pe;4-Man woman business;5-Touching dead bodies;7-Mother breastfeeding her chi","1-Vomiting;2-Fever;3-Diarrhea;4-Headache;5-Joint and muscle pain;6-Sore throat;7-Weakness;8-Stomach pain;9-Rash;10-Red eyes;11-Hiccups;12-Bleeding;13-Fatigue",9,"1-Yes","N","Y","Y","",,"2-Several times",1,"N","","","","N","","","",,"1-Yes","1-Yes",0,"88-Other","1-Agree","1-Agree","0-No","0-No","1-Yes","0-No","0-No",2,0,,"2-Several times",500,"1-LD",50,"2-USD","4-Skilled manual","Y","Y","Y","Y","2-Several times","N",7,7,7,0,1,2,1,,"Y","N","0-None"
